% Learning Challenge  -  Dataset ARFF-Export
% ==========================================
%
% Dataset: Graph_tl
% Subset:  test
%
%
% Dataset Characteristics
% -----------------------
% dimensions:                  2
% number of training points:   46
% number of test points:       2147
% number of validation points: 2147
% number of classes:           9

@RELATION "Graph_tl--test"

@ATTRIBUTE x0 NUMERIC
@ATTRIBUTE x1 NUMERIC

@ATTRIBUTE class { 0,1,2,3,4,5,6,7,8 }

@DATA
149,223,5
128,181,6
82,182,1
131,145,4
81,62,2
193,105,8
135,238,5
214,128,8
178,185,7
54,83,3
60,74,3
80,59,2
123,147,6
123,159,6
132,131,4
36,119,0
125,143,6
214,103,8
101,139,4
96,30,2
140,118,4
39,128,0
129,132,4
98,121,4
134,132,4
113,141,4
71,182,1
203,138,8
145,228,5
207,121,8
28,135,0
129,156,6
228,102,8
125,155,6
91,45,2
208,102,8
119,243,5
134,242,5
230,140,8
209,144,8
62,37,2
217,120,8
121,160,6
30,123,0
113,110,4
148,118,4
138,130,4
128,121,4
90,50,2
53,95,3
123,229,5
55,128,0
231,111,8
145,224,5
143,216,5
130,130,4
125,132,4
81,34,2
226,137,8
64,58,2
231,128,8
130,171,6
83,191,1
187,139,8
127,175,6
203,135,8
211,144,8
123,187,6
71,60,2
72,61,2
132,110,4
195,158,7
63,34,2
121,162,6
207,147,8
128,155,6
46,92,3
95,33,2
109,226,5
120,155,6
35,121,0
216,142,8
68,42,2
60,65,2
132,139,4
191,110,8
214,114,8
205,114,8
189,121,8
175,190,7
188,123,8
95,124,4
142,234,5
83,181,1
52,93,3
196,161,7
29,107,0
42,148,1
41,152,1
114,110,4
141,111,4
78,62,2
101,116,4
202,105,8
95,114,4
47,86,3
187,174,7
135,240,5
126,184,6
63,165,1
47,150,1
51,94,3
24,107,0
55,154,1
222,141,8
229,122,8
145,140,4
119,103,4
143,231,5
132,223,5
122,127,4
145,232,5
192,113,8
115,237,5
121,109,4
149,129,4
110,208,1
141,217,5
132,106,4
63,167,1
224,110,8
118,232,5
15,116,0
101,125,4
242,119,8
210,105,8
123,132,4
119,231,5
136,137,4
101,124,4
201,108,8
198,154,7
99,205,1
139,120,4
188,127,8
88,196,1
52,159,1
100,196,1
77,176,1
128,189,6
80,35,2
112,130,4
45,128,0
189,130,8
143,219,5
146,133,4
102,206,1
60,50,2
133,200,6
48,108,0
130,189,6
206,133,8
17,131,0
47,155,1
15,131,0
207,142,8
195,126,8
64,176,1
234,120,8
113,102,4
201,156,7
187,123,8
87,46,2
142,239,5
130,169,6
222,118,8
148,132,4
122,225,5
98,60,2
178,182,7
123,167,6
12,118,0
127,228,5
132,214,5
210,101,8
54,77,3
81,180,1
126,181,6
233,117,8
61,28,2
125,209,5
78,183,1
108,216,5
78,187,1
106,212,1
173,186,7
107,209,1
155,211,7
44,98,3
210,114,8
140,232,5
66,60,2
64,173,1
227,125,8
226,107,8
129,199,6
53,158,1
35,114,0
217,108,8
190,106,8
83,183,1
65,163,1
124,230,5
94,39,2
232,118,8
53,79,3
71,174,1
123,216,5
53,39,2
49,57,2
196,140,8
38,120,0
88,66,2
112,109,4
175,187,7
64,167,1
210,108,8
198,111,8
185,174,7
224,141,8
92,43,2
213,124,8
49,117,0
72,63,2
48,118,0
215,115,8
188,172,7
75,62,2
42,128,0
48,127,0
51,43,2
224,103,8
42,96,3
51,77,3
108,207,1
196,104,8
104,205,1
187,165,7
231,108,8
188,167,7
232,142,8
187,108,8
139,128,4
228,143,8
211,112,8
216,124,8
149,208,7
129,160,6
45,95,3
57,157,1
79,34,2
48,157,1
125,199,6
236,135,8
236,138,8
129,128,4
29,133,0
141,215,5
174,182,7
137,238,5
238,110,8
110,225,5
146,127,4
124,153,6
136,243,5
51,66,2
174,193,7
125,177,6
44,146,1
57,32,2
97,133,4
130,183,6
203,110,8
