% Learning Challenge  -  Dataset ARFF-Export
% ==========================================
%
% Dataset: Spirals
% Subset:  training
%
%
% Dataset Characteristics
% -----------------------
% dimensions:                  2
% number of training points:   600
% number of test points:       600
% number of validation points: 800
% number of classes:           2

@RELATION "Spirals--training"

@ATTRIBUTE x0 NUMERIC
@ATTRIBUTE x1 NUMERIC

@ATTRIBUTE class { 0,1 }

@DATA
-6.1897,0.65727,0
-0.97006,-10.994,0
-5.4549,4.2575,0
3.1267,-2.0591,0
9.3948,1.0715,0
3.3577,-0.13032,0
0.93506,-4.3838,0
7.153,5.3826,0
-1.8737,-10.992,0
1.1984,7.9212,0
9.2383,1.5748,0
9.6026,-1.0177,0
2.6156,-3.0558,0
9.2491,1.6473,0
-0.050904,-10.959,0
-0.37755,-4.689,0
-4.0941,6.0068,0
3.2305,7.7066,0
-5.073,4.8938,0
6.9316,5.5175,0
8.493,3.5999,0
-6.2451,1.1461,0
-0.86591,-10.88,0
4.8947,-9.2649,0
-2.8901,-4.2162,0
9.4227,0.63731,0
-0.7019,-11.027,0
1.5623,8.0843,0
2.9444,7.8413,0
1.3896,-10.724,0
-5.1732,4.9168,0
-1.3873,-4.656,0
6.4224,6.2007,0
1.9339,-10.581,0
4.2297,-9.5912,0
-6.2664,1.4432,0
-4.6031,5.5817,0
4.7092,-9.3067,0
9.4027,1.1127,0
-3.5965,6.4933,0
-6.0836,-0.41779,0
0.23959,-10.86,0
7.5511,4.7828,0
-4.1284,-10.439,0
2.0579,-10.607,0
6.2942,-8.1163,0
1.8664,8.0186,0
-5.7751,3.7783,0
-3.7073,6.4812,0
1.4311,-10.728,0
-5.6155,4.0509,0
-6.2499,0.5057,0
9.4818,0.87451,0
-0.87084,7.8461,0
9.3142,1.3117,0
2.9067,-10.241,0
6.135,6.1498,0
-1.0664,-10.945,0
-3.443,-4.0164,0
-3.1077,6.7591,0
0.85343,1.8166,0
8.4523,3.6231,0
8.0604,4.1962,0
-2.6817,-10.784,0
7.9526,-6.3539,0
-5.0302,-2.6199,0
1.8891,7.9945,0
-4.9617,4.9128,0
9.4852,-0.83045,0
7.927,-6.4418,0
-2.647,-4.4377,0
6.8493,-7.5637,0
-4.516,-3.2603,0
9.4728,-2.8897,0
7.8036,-6.4564,0
-1.9432,-4.5469,0
-5.5107,-2.1011,0
5.1269,-9.0151,0
2.29,-10.386,0
7.238,-7.155,0
-5.3752,-1.9664,0
6.224,6.3345,0
2.9986,-2.2217,0
9.3917,-2.8248,0
9.1413,-3.5421,0
9.043,-4.1351,0
9.4902,-2.2055,0
6.8278,5.548,0
-0.57982,-10.888,0
-2.1756,-10.923,0
-1.6644,-10.928,0
0.77413,1.8831,0
3.5364,7.6322,0
-3.6785,6.3753,0
8.4111,-5.4591,0
1.513,-4.1299,0
-5.8912,-1.1944,0
9.4429,0.14723,0
3.6264,-9.9331,0
-1.0704,7.7059,0
-3.3089,6.6057,0
8.1012,4.0957,0
-1.1867,7.5873,0
8.3436,3.4736,0
-6.186,-0.13022,0
9.2164,1.6308,0
9.0571,2.3432,0
8.9484,2.5863,0
-0.12167,-4.668,0
9.5981,-0.95286,0
-5.3192,4.5254,0
-5.9543,-0.84857,0
-0.9493,-4.6464,0
1.5775,-3.956,0
6.1677,-8.179,0
-6.2364,2.0306,0
-0.73279,-4.7984,0
3.3207,-1.116,0
-5.8319,3.1896,0
-2.3302,7.2761,0
-0.49384,7.9015,0
6.4172,-8.0605,0
7.2028,5.2326,0
2.8003,0.98813,0
-4.1326,-3.4253,0
6.8174,-7.7618,0
-1.8728,-10.923,0
9.3122,1.2357,0
-4.7513,5.2938,0
-3.6737,6.3016,0
-5.3524,-2.2734,0
1.2485,-10.618,0
1.9966,-10.613,0
3.1272,0.55411,0
1.3225,-10.638,0
7.2352,-7.3519,0
-6.285,0.45724,0
-1.9528,7.372,0
-6.0561,2.9386,0
9.5277,-0.7672,0
-3.2413,-4.0424,0
3.8285,7.4267,0
-1.697,7.5937,0
3.7981,7.4532,0
2.717,1.0846,0
-1.9031,7.4435,0
8.5666,-5.2856,0
-5.6775,3.655,0
-0.66409,7.758,0
-0.20663,7.907,0
-2.9141,-10.681,0
9.5896,-0.030392,0
-0.72114,-4.6982,0
3.0687,-2.1579,0
-6.0183,2.7161,0
7.4114,5.0139,0
3.0117,7.8514,0
-3.1574,-4.2647,0
-3.3789,6.6101,0
-2.6968,-10.872,0
-3.6639,6.3986,0
-3.4027,-3.9511,0
8.1747,3.9657,0
6.1002,6.3132,0
-1.8473,-4.6906,0
-0.30789,-10.855,0
7.3054,5.1094,0
-0.50526,-11.019,0
-1.8042,-4.5322,0
2.5121,7.9828,0
9.3458,0.70281,0
-4.8804,5.0816,0
3.2757,-1.5843,0
-1.6064,7.522,0
0.26963,-10.942,0
-5.9271,3.2341,0
9.5871,-1.8947,0
5.1695,6.7939,0
-3.7282,6.4203,0
-5.8062,-1.0526,0
5.7568,6.6082,0
-2.2099,-10.837,0
9.3612,1.3777,0
-5.2215,-2.3225,0
-6.1573,0.46293,0
-0.55422,-10.931,0
3.1855,-1.6672,0
1.6635,7.9036,0
6.9535,5.5633,0
6.743,-7.7716,0
8.3986,3.5956,0
0.16596,-10.905,0
-1.8062,7.3781,0
-3.4885,6.5825,0
6.7451,5.9068,0
-3.1054,-10.711,0
-1.9859,-10.836,0
-1.5608,7.6115,0
-6.0418,-0.666,0
-3.3484,-10.646,0
-1.866,7.4233,0
-2.9934,6.7684,0
8.5664,-5.3699,0
3.2025,-1.6561,0
3.0688,-10.149,0
6.731,-7.7634,0
-5.9268,2.8421,0
-2.7892,-10.703,0
3.946,-9.7296,0
5.5702,6.5679,0
5.796,6.4445,0
3.0284,-2.4396,0
3.0775,-10.243,0
-3.0622,-10.708,0
-4.9222,-2.8088,0
7.0438,-7.5529,0
-4.9246,-2.7362,0
3.4221,-1.5197,0
3.3158,-0.090568,0
7.5318,-6.8975,0
-3.558,-10.618,0
9.4145,0.44278,0
-3.435,-4.0252,0
3.4609,-10.111,0
8.2103,-5.8124,0
-0.61457,-4.7997,0
-5.8353,3.4403,0
5.7342,-8.7205,0
9.3572,-2.7338,0
-0.20488,7.8625,0
-0.38515,7.9044,0
4.4467,-9.641,0
-1.5577,-11.013,0
6.646,5.778,0
0.86644,7.95,0
-1.47,-10.974,0
0.027666,-4.5809,0
0.88404,7.9464,0
-6.1761,0.28364,0
6.1514,6.3491,0
3.8137,7.6093,0
-2.3121,-4.4443,0
-0.51588,-4.7718,0
9.5192,-1.5033,0
-3.2104,-4.073,0
-3.0306,6.8711,0
8.8926,2.6058,0
9.62,-1.6505,0
-3.6,6.3444,0
-1.1507,7.6339,0
-5.6515,3.9211,0
9.5387,-1.4444,0
-3.8655,-3.645,0
-2.0426,-4.664,0
7.0099,-7.5947,0
3.3207,-10.134,0
7.5662,-6.6927,0
5.9441,-8.5586,0
2.4897,-3.188,0
5.6731,6.5427,0
-3.5433,6.513,0
0.91518,8.0976,0
-2.0222,-4.6147,0
-5.2887,4.48,0
0.43053,-10.866,0
-2.2786,-10.863,0
9.5766,0.44672,0
-0.18272,-4.6051,0
8.8658,2.4808,0
-0.31072,7.8432,0
-1.1667,-10.96,0
6.8742,-7.7347,0
9.4788,-0.11698,0
-4.1823,-10.494,0
-4.1024,6.0051,0
-5.4252,-1.9864,0
3.1587,7.813,0
-5.2825,4.3726,0
1.9789,7.9715,0
1.5599,-4.0977,0
-2.9125,6.8317,0
9.1137,1.9833,0
-1.1429,7.654,0
1.9351,7.9989,0
-3.3347,6.494,0
1.2257,1.917,0
7.2828,-7.1978,0
3.1776,7.6711,0
-2.9797,6.8222,0
2.6104,1.1759,0
-6.0821,-0.57804,0
-2.1366,-10.954,0
-1.3798,7.6817,0
7.0393,-7.3373,0
9.4892,0.1293,0
-3.1435,-4.2105,0
9.3176,-2.667,0
-2.7034,-10.822,0
9.1944,1.8827,0
9.2578,-3.4593,0
7.572,-6.9626,0
9.0409,-4.1759,0
-1.9992,-10.913,0
4.3669,3.6451,1
4.0273,3.831,1
5.9693,-3.3223,1
6.4674,-0.21338,1
-5.4176,-6.4869,1
-7.911,-3.819,1
-7.1125,-5.0245,1
-4.475,9.5344,1
-5.8992,-6.146,1
5.6664,-4.0005,1
1.591,-7.3849,1
-8.6315,4.8324,1
1.8543,11.16,1
-6.343,-5.7994,1
-2.227,10.522,1
-3.7971,-7.3507,1
-8.6053,4.9712,1
2.6655,11.112,1
6.2679,-2.8007,1
0.54604,11.149,1
-8.1531,-3.7047,1
4.8185,-5.197,1
-8.5801,5.0144,1
-0.99265,-1.6685,1
4.6999,-5.4283,1
6.2687,0.42645,1
-1.0038,-7.797,1
-7.9817,-3.7916,1
-0.73318,-7.8967,1
3.6333,10.805,1
-9.1835,-0.81083,1
-5.629,-6.3982,1
5.8247,1.8172,1
-5.3595,-6.3914,1
-0.58786,4.5557,1
-9.3659,0.58074,1
-1.6803,-7.7736,1
-5.2585,8.9999,1
-2.147,10.663,1
-0.91365,4.5004,1
-2.7388,2.6712,1
-8.5543,-2.6996,1
-3.1202,0.34077,1
-2.962,2.3075,1
2.2234,4.8033,1
4.8562,10.496,1
-7.1647,-4.7992,1
6.4397,-1.6213,1
-0.14572,4.672,1
-8.5257,5.0844,1
-9.1093,-1.2069,1
-7.4309,-4.6453,1
