% Learning Challenge  -  Dataset ARFF-Export
% ==========================================
%
% Dataset: Spirals 2
% Subset:  training
%
%
% Dataset Characteristics
% -----------------------
% dimensions:                  2
% number of training points:   200
% number of test points:       800
% number of validation points: 1000
% number of classes:           2

@RELATION "Spirals 2--training"

@ATTRIBUTE x0 NUMERIC
@ATTRIBUTE x1 NUMERIC

@ATTRIBUTE class { 0,1 }

@DATA
2.2488,-3.2957,0
-3.6418,6.3735,0
-3.3314,-4.1714,0
9.2383,1.5748,0
3.4692,7.65,0
-0.86591,-10.88,0
9.4227,0.63731,0
4.4537,7.3481,0
-6.2594,0.32372,0
6.4224,6.2007,0
-3.3563,-10.634,0
-5.4085,-10.025,0
-5.9545,3.1486,0
9.4974,-0.54783,0
7.5336,-6.6421,0
-4.1284,-10.439,0
8.4755,3.3411,0
-4.0068,6.0471,0
-3.7073,6.4812,0
2.4364,-10.374,0
-3.443,-4.0164,0
-0.52074,-10.962,0
8.0604,4.1962,0
0.15542,-4.6648,0
-5.5107,-2.1011,0
8.6306,-5.1868,0
9.5989,-0.4506,0
7.6642,4.808,0
-0.12378,-4.6203,0
0.77413,1.8831,0
8.2883,-5.7663,0
-3.6785,6.3753,0
3.6264,-9.9331,0
-5.5115,-1.73,0
9.6578,-0.84503,0
-2.2974,-4.56,0
9.5786,-0.18851,0
7.4895,-6.8883,0
2.7574,7.8124,0
0.55567,-4.4195,0
-5.467,4.0655,0
3.3553,-0.20676,0
1.2485,-10.618,0
-3.4681,-3.9618,0
1.3225,-10.638,0
3.3833,-0.38499,0
-5.5331,4.1883,0
1.7719,-3.869,0
9.276,-3.3236,0
3.0117,7.8514,0
3.5666,-9.9202,0
-3.6669,6.3332,0
-0.42162,7.9384,0
-0.30789,-10.855,0
6.4135,-7.9924,0
4.2998,7.3836,0
7.9191,-6.4197,0
-5.0086,-10.237,0
5.1695,6.7939,0
-5.9958,3.2066,0
-5.2215,-2.3225,0
-1.7355,-10.992,0
9.0552,-3.8978,0
5.3423,-9.0213,0
6.3841,5.9558,0
-5.5461,-1.758,0
2.6959,-2.9062,0
6.5988,5.9266,0
-3.5841,6.3854,0
-4.1803,-3.489,0
-5.2975,4.7073,0
9.496,0.44895,0
8.3232,-5.759,0
4.4467,-9.641,0
-2.3121,-4.4443,0
9.3042,1.3431,0
9.62,-1.6505,0
0.53555,-4.5127,0
-5.9786,-0.44924,0
9.5766,0.44672,0
-6.157,1.7601,0
9.5581,-1.9538,0
-4.1823,-10.494,0
8.9157,-4.2496,0
-4.1024,6.0051,0
8.6777,3.1362,0
6.6975,-7.8216,0
8.7771,3.045,0
-3.2752,-10.674,0
-5.1212,-10.148,0
-6.2858,0.71695,0
-2.2111,-4.5097,0
3.386,-10.148,0
5.397,6.7561,0
-2.7034,-10.822,0
9.0409,-4.1759,0
5.9693,-3.3223,1
6.3124,-2.0177,1
-5.4176,-6.4869,1
-7.5854,-4.2697,1
-7.911,-3.819,1
3.5413,4.2438,1
-0.19222,11.083,1
-3.934,-7.1866,1
1.8543,11.16,1
4.5643,10.628,1
-8.6053,4.9712,1
-2.5546,3.0007,1
2.5657,4.7846,1
1.8693,11.192,1
-0.40932,10.943,1
3.6333,10.805,1
-0.58786,4.5557,1
-9.3659,0.58074,1
-1.6803,-7.7736,1
-9.0536,-1.5436,1
6.4101,-0.82403,1
0.33627,11.063,1
-9.0834,-0.99207,1
1.7156,-7.3594,1
-9.2943,1.5436,1
-2.3185,-7.7257,1
-0.64587,4.6855,1
-7.74,-4.2782,1
4.2717,3.775,1
-4.8402,9.494,1
-8.7847,-2.1753,1
5.6568,10.047,1
0.4918,4.9257,1
-6.0895,8.3262,1
3.3856,-6.5058,1
-3.1107,-7.5133,1
-8.0706,5.9915,1
-8.1073,5.8586,1
-5.5338,8.9088,1
-9.4469,1.2035,1
5.3659,2.4301,1
5.2957,-4.4116,1
-9.3221,2.0884,1
2.6416,11.045,1
-2.0147,-1.2175,1
4.0516,-5.861,1
3.0002,10.976,1
-2.791,-0.54272,1
-5.2758,-6.6118,1
2.6287,10.978,1
-6.6836,-5.377,1
3.6127,4.2678,1
4.7366,-5.2958,1
0.94863,-7.5812,1
-2.1757,3.5135,1
3.9576,3.9949,1
1.7622,4.7907,1
-8.2118,-3.3247,1
3.4265,10.881,1
1.6284,4.9503,1
0.36689,11.162,1
-5.5535,-6.4743,1
-9.1647,2.5225,1
-6.5407,7.9645,1
-2.6841,2.8209,1
-7.003,7.409,1
-2.5231,-7.6648,1
-7.5637,-4.532,1
4.7434,10.48,1
-2.5568,10.494,1
-9.1626,-0.94119,1
4.2001,3.8478,1
-1.3061,4.214,1
2.9824,-6.8714,1
0.77022,11.161,1
0.77182,-7.7421,1
-3.1078,1.0052,1
5.8477,1.8264,1
3.2747,-6.4739,1
-2.0995,-7.7969,1
6.2547,-2.23,1
6.4057,-1.245,1
0.046304,-7.7787,1
-6.8049,7.7158,1
-4.1596,9.7177,1
-8.518,-2.7152,1
6.3508,0.364,1
-5.6043,8.8955,1
-1.3,-7.8626,1
-0.60934,10.971,1
-3.243,1.5095,1
-9.4034,1.3794,1
1.1516,-7.4571,1
6.3168,-0.11979,1
-1.7042,-7.8664,1
-9.3698,2.243,1
-0.98532,10.895,1
-7.2274,7.0579,1
3.8203,3.9533,1
-0.2486,11.026,1
-2.7607,2.6113,1
-3.0452,0.21815,1
0.9932,4.9001,1
6.4752,-1.6063,1
