% Learning Challenge  -  Dataset ARFF-Export
% ==========================================
%
% Dataset: Yeast_tl
% Subset:  training
%
%
% Dataset Characteristics
% -----------------------
% dimensions:                  8
% number of training points:   36
% number of test points:       87
% number of validation points: 87
% number of classes:           9

@RELATION "Yeast_tl--training"

@ATTRIBUTE x0 NUMERIC
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC

@ATTRIBUTE class { 0,1,2,3,4,5,6,7,8 }

@DATA
0.58,0.61,0.47,0.13,0.5,0,0.48,0.22,0
0.43,0.67,0.48,0.27,0.5,0,0.53,0.22,0
0.64,0.62,0.49,0.15,0.5,0,0.53,0.22,0
0.58,0.44,0.57,0.13,0.5,0,0.54,0.22,1
0.42,0.44,0.48,0.54,0.5,0,0.48,0.22,0
0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,2
0.5,0.54,0.48,0.65,0.5,0,0.53,0.22,0
0.48,0.45,0.59,0.2,0.5,0,0.58,0.34,1
0.4,0.39,0.6,0.15,0.5,0,0.58,0.3,2
0.43,0.39,0.54,0.21,0.5,0,0.53,0.27,1
0.42,0.37,0.59,0.2,0.5,0,0.52,0.29,1
0.4,0.42,0.57,0.35,0.5,0,0.53,0.25,2
0.46,0.44,0.52,0.11,0.5,0,0.5,0.22,2
0.47,0.39,0.5,0.11,0.5,0,0.49,0.4,2
0.58,0.47,0.54,0.11,0.5,0,0.51,0.26,1
0.8,0.88,0.36,0.39,0.5,0,0.56,0.33,3
0.78,0.74,0.42,0.26,0.5,0,0.43,0.22,3
0.74,0.67,0.47,0.34,0.5,0,0.42,0.22,4
0.86,0.68,0.39,0.24,0.5,0,0.54,0.22,5
0.86,0.74,0.51,0.4,0.5,0,0.55,0.22,5
0.79,0.57,0.41,0.28,0.5,0,0.59,0.22,5
0.41,0.54,0.39,0.2,0.5,0,0.51,0.22,6
0.37,0.36,0.56,0.18,0.5,0,0.48,0.26,7
0.74,0.75,0.58,0.47,0.5,0,0.4,0.35,5
0.49,0.39,0.52,0.29,0.5,0,0.48,0.22,4
0.74,0.57,0.51,0.28,0.5,0,0.58,0.22,7
0.42,0.24,0.34,0.16,0.5,0,0.5,0.22,6
0.41,0.53,0.45,0.14,0.5,0,0.52,0.66,6
0.81,0.85,0.47,0.37,0.5,0,0.56,0.22,4
0.28,0.58,0.21,0.13,0.5,0,0.51,0.22,6
0.39,0.44,0.35,0.16,0.5,0,0.55,0.22,6
0.8,0.63,0.45,0.29,0.5,0,0.51,0.22,4
0.69,0.7,0.52,0.36,0.5,0,0.46,0.22,4
0.45,0.41,0.5,0.46,0.5,0.5,0.5,0.27,8
0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,8
0.75,0.7,0.38,0.27,0.5,0,0.49,0.22,3
